track,frame_idx,instance.score,nose.x,nose.y
,300,7.9156847,729.9821167,287.9996033
,301,7.876846313,727.9763184,289.9821167
,302,7.584643364,728.0075684,286.0091553
,303,7.316665649,728.0037231,289.981842
,304,7.392320633,731.9951782,275.9981995
,305,7.312819004,730.0090942,278.0010681
,306,7.349871635,735.9552002,285.9779663
,307,7.11567831,735.9754639,291.9963684
,308,6.847898483,734.0458984,295.992981
,309,6.763727665,735.9906616,298.0139771
,310,6.59847784,738.0258789,300.0180969
,311,6.681230545,738.0109253,301.9888916
,312,6.585697651,741.9827881,304.0115967
,313,6.976235867,746.0430298,303.9800415
,314,6.741360188,,
,315,7.057601452,,
,316,6.394537449,,
,317,6.156944275,,
,318,5.944638729,,
,319,6.258874416,,
,320,6.526016235,,
,321,6.208779335,,
,322,6.185501099,,
,323,5.861773968,,
,324,5.690907001,,
,325,5.765349388,,
,326,6.032186508,,
,327,6.007220268,,
,328,6.00818491,,
,329,5.999558449,,
,330,6.08506918,,
,331,6.007377148,,
,332,6.057530403,,
,333,6.089176655,,
,334,6.08834362,,
,335,6.065550327,,
,336,6.062259674,,
,337,5.875204086,,
,338,6.059322357,,
,339,5.769500732,,
,340,6.022695541,,
,341,6.714682579,,
,342,6.686740398,735.9558105,272.0042419
,343,6.789027214,734.0148926,254.0054626
,344,6.749098778,734.0030518,246.0119476
,345,6.69633007,742.0139771,228.0111542
,346,7.03764677,,
,347,7.289436817,,
,348,7.208492279,746.0145264,194.0520325
,349,7.125156403,758.015686,199.9711456
,350,7.092411995,730.0187988,197.9902496
,351,7.007115364,741.9599609,197.9624023
,352,6.885972023,760.0009766,237.9526367
,353,6.811138153,716.0377197,295.9642639
,354,6.800794125,770.0103149,241.9930267
,355,6.967635155,760.0053711,192.0202789
,356,6.88090992,756.0443115,189.9856415
,357,6.536345482,756.0358276,188.0313416
,358,6.542289257,756.0357056,188.0294037
,359,5.963020325,779.9547119,220.0014954
,360,6.058805466,,
,361,4.749159336,,
,362,5.405482292,639.9703369,281.9826965
,363,5.064001083,,
,364,5.899437428,,
,365,5.626180649,,
,366,5.596337318,,
,367,5.237197399,,
,368,5.377099991,,
,369,4.999777317,,
,370,5.362586975,,
,371,5.371196747,,
,372,5.149159908,692.0124512,147.9942322
,373,4.936795712,,
,374,5.260570526,688.0164185,152.0072632
,375,5.151425362,686.0210571,152.0219574
,376,5.488556385,687.9917603,150.0035095
,377,5.323441505,736.0133667,153.9854431
,378,5.511109352,,
,379,5.4076581,,
,380,5.635107517,775.9876099,254.0010681
,381,5.50947094,774.0180664,256.0219421
,382,5.402028084,772.0172729,265.9414673
,383,5.279200077,771.9674072,259.9960327
,384,5.544168472,775.9697876,262.0000916
,385,5.882612228,775.9328613,260.0151672
,386,5.863159657,774.0629272,261.9886169
,387,5.919168949,773.9506836,266.0085449
,388,5.896606922,770.0195313,267.9866333
,389,5.454418182,763.9840088,260.0164185
,390,4.995575905,,
,391,4.860655308,765.9951782,270.0222473
,392,6.038365364,767.9893188,268.0271301
,393,6.493636608,696.0419922,293.9602051
,394,6.490012169,698.0144653,294.0244141
,395,6.759050369,718.0061035,301.9976807
,396,7.133921623,685.9980469,292.0389099
,397,6.827697277,679.9926758,293.9665222
,398,7.213360786,654.0358276,293.9934692
,399,7.077799797,647.9805908,290.0156555
,400,7.268894672,635.9959106,293.9917603
,401,7.26663065,633.9697876,297.9775085
,402,7.527196884,623.9956055,301.9855347
,403,7.319993019,621.9819946,304.0113525
,404,7.150417805,620.0090942,306.0280457
,405,8.232448578,616.0310059,314.0156555
,406,8.239767075,616.0308228,314.0155029
,407,8.56392765,612.0004272,315.9892883
,408,8.371168137,594.0014648,316.0022888
,409,8.486196518,579.9981689,316.0272522
,410,8.484939575,567.9975586,322.02948
,411,8.347085953,563.9938354,324.0007324
,412,8.527589798,559.9815674,325.9897156
,413,8.438816071,559.9816284,325.9909363
,414,8.877093315,553.9779053,325.9718018
,415,8.460502625,550.015564,328.0007935
,416,8.626509666,532.0174561,326.0190125
,417,8.496068954,520.0122681,322.0005188
,418,8.395576477,500.0050659,319.9699707
,419,8.529500961,481.9526062,323.9768982
,420,8.26410675,462.0233154,328.0021362
,421,8.442625046,440.0155334,333.9762878
,422,8.186799049,429.9480286,333.9934082
,423,7.249692917,411.9957581,337.9819031
,424,7.601217747,399.9702148,339.9919434
